arquivo,titulo,autor,ano,idioma,tema,fonte,licenca,url,palavras,caracteres,tamanho_kb
docs/texto_01_pinho_pierin_controle_hipertensao_2013.txt,O controle da hipertensão arterial em publicações brasileiras,"Pinho, N. A.; Pierin, A. M. G.",2013,pt,"Hipertensão, saúde pública, adesão ao tratamento",SciELO / Arq. Bras. Cardiol.,CC BY-NC 4.0,https://www.scielo.br/j/abc/a/Y8qr8Z3MkvGrRKWsQZ4dQLP/?lang=pt,2771,19140,19
docs/texto_02_diretriz_infarto_agudo_miocardio_2004.txt,III Diretriz sobre Tratamento do Infarto Agudo do Miocárdio,"Sociedade Brasileira de Cardiologia (Piegas, L. S. et al.)",2004,pt,Infarto agudo do miocárdio: diagnóstico e tratamento,SciELO / Arq. Bras. Cardiol.,CC BY-NC 4.0,https://www.scielo.br/j/abc/a/J9pQBbtX8gfhXFTGgSRBpTz/?lang=pt,77068,540366,540
docs/texto_03_insuficiencia_cardiaca_1998.txt,Insuficiência Cardíaca,"Barretto, A. C. P.; Ramires, J. A. F.",1998,pt,"Insuficiência cardíaca: fisiopatologia, sintomas e tratamento",SciELO / Arq. Bras. Cardiol.,CC BY-NC 4.0,https://www.scielo.br/j/abc/a/VCQkdfNs5QNyTYhp8WdnMdN/?lang=pt,2420,17389,18
docs/texto_04_prevencao_doencas_cardiovasculares_2012.txt,Prevenção de doenças cardiovasculares e promoção da saúde,"Achutti, A.",2012,pt,Prevenção cardiovascular e promoção da saúde (saúde pública),SciELO / Ciênc. Saúde Coletiva,CC BY-NC 4.0,https://www.scielo.br/j/csc/a/MnRMxsYBd8jmVtPLZSWVnyd/?lang=pt,1232,8839,9
